"ASV_Number","Species","Percent_identity","Top_BLAST_hit"
1,"unclassified",100,"uncultured bacterium"
2,"Lactobacillus iners",99.86,"Lactobacillus iners"
3,"Lactobacillus iners",99.79,"Lactobacillus iners"
4,"Lactobacillus iners",100,"Lactobacillus iners"
5,"unclassified",100,"uncultured bacterium"
6,"Lactobacillus iners",99.86,"Lactobacillus iners"
7,"Lactobacillus iners",99.93,"Lactobacillus iners"
8,"Lactobacillus crispatus",99.93,"Lactobacillus crispatus"
9,"Lactobacillus mulieris",100,"Lactobacillus mulieris"
10,"Lactobacillus crispatus",99.93,"Lactobacillus crispatus"
11,"Lactobacillus iners",99.93,"Lactobacillus iners"
12,"Lactobacillus mulieris",99.86,"Lactobacillus mulieris"
13,"unclassified",99.93,"uncultured bacterium"
14,"Lactobacillus mulieris",99.79,"Lactobacillus mulieris"
15,"Lactobacillus crispatus",99.93,"Lactobacillus crispatus"
16,"Lactobacillus iners",99.79,"Lactobacillus iners"
17,"Lactobacillus mulieris",99.93,"Lactobacillus mulieris"
18,"unclassified",99.93,"uncultured bacterium"
19,"unclassified",99.17,"uncultured bacterium"
20,"Lactobacillus jensenii",99.86,"Lactobacillus jensenii"
21,"Lactobacillus crispatus",99.86,"Lactobacillus crispatus"
22,"Lactobacillus iners",99.72,"Lactobacillus iners"
23,"Lactobacillus jensenii",99.79,"Lactobacillus jensenii"
24,"Lactobacillus iners",99.04,"Lactobacillus iners"
25,"unclassified",99.24,"uncultured bacterium"
26,"Lactobacillus iners",99.79,"Lactobacillus iners"
27,"Lactobacillus iners",99.93,"Lactobacillus iners"
28,"Lactobacillus mulieris",99.79,"Lactobacillus mulieris"
29,"Lactobacillus mulieris",99.1,"Lactobacillus mulieris"
30,"unclassified",99.09,"uncultured bacterium"
31,"Lactobacillus iners",99.72,"Lactobacillus iners"
32,"unclassified",100,"uncultured bacterium"
33,"Lactobacillus iners",99.79,"Lactobacillus iners"
34,"Lactobacillus iners",99.1,"Lactobacillus iners"
35,"Lactobacillus crispatus",100,"Lactobacillus crispatus"
36,"unclassified",99.45,"uncultured bacterium"
37,"Lactobacillus mulieris",99.72,"Lactobacillus mulieris"
38,"Lactobacillus crispatus",100,"Lactobacillus crispatus"
39,"unclassified",99.03,"uncultured bacterium"
40,"Lactobacillus iners",99.1,"Lactobacillus iners"
41,"unclassified",99.02,"uncultured bacterium"
42,"Lactobacillus crispatus",99.86,"Lactobacillus crispatus"
43,"unclassified",99.59,"uncultured bacterium"
44,"Lactobacillus iners",99.93,"Lactobacillus iners"
45,"unclassified",99.93,"uncultured bacterium"
46,"unclassified",99.52,"uncultured bacterium"
47,"unclassified",99.17,"uncultured bacterium"
48,"unclassified",99.31,"uncultured bacterium"
49,"unclassified",99.79,"uncultured bacterium"
50,"Lactobacillus mulieris",99.93,"Lactobacillus mulieris"
51,"Lactobacillus crispatus",99.38,"Lactobacillus crispatus"
52,"Lactobacillus iners",99.31,"Lactobacillus iners"
53,"Lactobacillus mulieris",99.03,"Lactobacillus mulieris"
54,"unclassified",99.17,"uncultured bacterium"
55,"uncultured Lactobacillus sp.",99.72,"uncultured Lactobacillus sp."
56,"unclassified",99.86,"uncultured bacterium"
57,"Lactobacillus crispatus",99.79,"Lactobacillus crispatus"
58,"unclassified",99.93,"uncultured bacterium"
59,"unclassified",99.72,"uncultured bacterium"
60,"Lactobacillus crispatus",99.93,"Lactobacillus crispatus"
61,"Lactobacillus iners",99.79,"Lactobacillus iners"
62,"unclassified",99.31,"uncultured bacterium"
63,"unclassified",99.38,"uncultured bacterium"
64,"unclassified",99.59,"uncultured bacterium"
65,"unclassified",99.38,"uncultured bacterium"
66,"unclassified",99.79,"uncultured bacterium"
67,"Lactobacillus iners",99.72,"Lactobacillus iners"
68,"unclassified",99.72,"uncultured bacterium"
69,"Lactobacillus crispatus",99.79,"Lactobacillus crispatus"
70,"Lactobacillus crispatus",99.72,"Lactobacillus crispatus"
71,"unclassified",99.72,"uncultured bacterium"
72,"Lactobacillus iners",99.72,"Lactobacillus iners"
73,"unclassified",99.04,"uncultured bacterium"
74,"unclassified",99.93,"uncultured bacterium"
75,"unclassified",99.93,"uncultured bacterium"
76,"Lactobacillus iners",99.79,"Lactobacillus iners"
